business,email,phone,website_or_contact_page,status,notes
Alpine Inn,,605-574-2749,https://alpineinnhillcity.com/,Call; no public restaurant email found,Official site lists restaurant phone; separate lodging email should not be used for restaurant supply.
Antunez,eatlocal@antunezcuisine.com,605-722-8226,https://antunezcuisine.com/,Ready to email,Official site lists email.
Blue Bell Lodge Dining,,605-255-4531,https://www.custerresorts.com/dining,Call dining/resort; no public direct F&B purchasing email found,Existing list phone retained; Custer Resorts dining page is best contact path.
Boulder Canyon Golf Club - Canyon Grille,,605-347-5108,https://bouldercanyongolf.com/the-canyon-grille-coming-soon-to-boulder-canyon/,Call; Canyon Grille opening May 2026; no public direct email found,Golf club/grille listing found; Facebook search mentioned Ashley.Wingert@bhsu.edu but it is not clearly official for vendor outreach.
Buglin’ Bull,,605-673-4477,https://www.buglinbull.com/contact/,Use contact page/phone; no public direct email found,Official contact page lists phone/form.
Chute Rooster,info@chuterooster.com,605-574-2122,https://www.chuterooster.com/,Ready to email,Official site lists info@chuterooster.com.
Circle B Ranch Chuckwagon,,605-574-2129,,Likely closed; verify before outreach,Search results indicate Circle B Chuckwagon closed around 2020.
Custer State Park Resorts dining,,605-574-2561,https://www.custerresorts.com/dining,Call dining/resort; no public direct F&B purchasing email found,Dining page lists reservation/contact phone; state park general email exists but is not clearly F&B purchasing.
Deadwood Legends Steakhouse at The Franklin,,605-578-3670,https://www.silveradofranklin.com/food-drink/legends-steakhouse.html,Call; no public direct email found,Official Silverado Franklin/Deadwood pages list phone.
Deadwood Mountain Grand dining,info@dmgrand.com,605-559-0386,https://deadwoodmountaingrand.com/contact/,Ready to email,Official contact page lists info@dmgrand.com.
Delmonico Grill,delmonicogrill@gmail.com,605-791-1664,https://www.delmonicogrill.com/,Ready to email,Visit Rapid City listing shows email and phone.
Desperados Cowboys Restaurant,,605-574-2959,,Verify open status before outreach,Search results suggest Desperados may be closed; verify before contacting.
FLYT Steakhouse by Alpine Inn,info@cadillacjacksgaming.com,605-578-1500,https://www.cadillacjacksgaming.com/contact-us/,Ready to email,Official Cadillac Jack’s/FLYT listing shows this contact email.
Gold Bison Grill,cheryl.gabert@rushmoreplaza.com,605-348-4000,https://www.visitrapidcity.com/listing/gold-bison-grill/889/,Ready to email,Visit Rapid City listing shows email and phone.
Hickok’s Tavern - Rocksino by Hard Rock Deadwood,,605-578-2222,https://rocksino.hardrock.com/deadwood/dining/hickoks-tavern,Call; no public direct email found,Official page lists phone.
Inferno,,605-791-1647,https://infernobyfire.appfront.app/,Call/contact app; no public direct email found,Original website 404; Visit Rapid City/Appfront listing show contact paths/phone.
Jacobs Brewhouse & Grocer,,605-559-1895,https://jacobsbrewhouse.com/,Call/contact form; no public direct email found,Official site found; no email surfaced.
Jambonz,chivesbistro@yahoo.com,605-791-0624,,Verify open/status before emailing,"Facebook/search result lists this contact, but search also suggests Jambonz may be closed; verify before sending."
Killian's Tavern,,605-717-1255,https://killiansfoodanddrink.com/contact/,Use contact page/phone; no public direct email found,Official contact page has phone and form.
Maverick's Steaks & Cocktails,lisa@maverickssteak.com,605-578-2100,https://www.maverickssteak.com/deadwood/contact,Ready to email,Official Mavericks contact page lists email and phone.
Minervas Restaurant and Bar,,605-394-9505,https://www.minervasrestaurants.com/location/minervas-rapid-city-sd/,Call; no public direct email found,Official location page lists phone.
Nonna's Kitchen,,605-307-1345,https://nonnaskitchensd.com/contact-us,Use contact page/phone; no public direct email found,Official contact page has phone/form.
Old School Sliders,,,http://oldschoolsliders.com/,Need phone/contact verification,Official site found; no email surfaced.
Powder House Restaurant,,605-666-4646,https://www.powderhouselodge.com/contact-us/,Call or use contact page; no public direct email found,Official Powder House Lodge contact page; restaurant site lists 605-666-4646.
Redwater Kitchen,,605-717-2404,https://www.redwaterkitchen.co/contact,Use contact page/phone; no public direct email found,Official contact page found.
Ridgeline Roadhouse,,,https://www.ridgelineroadhouse.com/,Need phone/contact form verification,Site did not show a clear Roadhouse email. Avoid using support@ridgelineroasters.com unless confirmed related.
SEAR Steakhouse,,605-348-3348,https://searblackhillssteakhouse.com/,Call or use reservation/contact path; no public direct email found,Official website lists phone.
Stampmill Inn Restaurant Saloon & Victorian Suites,stampmillsd@gmail.com,605-559-1897,https://www.stampmillsd.com/eat-drink,Ready to email,Official Stampmill site lists email and phone.
Tally's Silver Spoon,,,https://www.tallyssilverspoon.com,Use website/contact path; no public direct email found,Official website found but no direct email surfaced.
The Bashful Bison Deli and Market,,605-519-3683,https://bashfulbison.com/contact-us/,Use contact page/phone; no public direct business email found,Do not use support@spoton.com; that appears to be platform support.
The Custer Wolf,,605-673-9653,http://www.custerwolf.com/home,Use contact page/phone; no public direct email found,Official contact/hours page lists phone.
The Dough Trader,,605-642-2175,https://www.doughtraderpizza.com/contact,Use contact page/phone; no public direct email found,Official contact page has phone/form.
The Lodge at Deadwood restaurants,jthomas@deadwoodlodge.com,605-584-4800,https://www.deadwoodlodge.com/contact,Ready to email,Official contact page/search result lists jthomas@deadwoodlodge.com for hotel/front desk contact.
Wine Cellar Restaurant,,605-718-2675,http://winecellarrestaurant.com/,Call; no public direct email found,Existing phone retained; no email surfaced.
