priority,business,area,address,phone,email,website,type_or_menu_fit,personalization_angle,source_notes
A,Gem Steakhouse & Saloon at Mineral Palace,Deadwood,"601 Main Street, Deadwood, SD",605-578-2036,kris@mineralpalace.com,https://mineralpalace.com/dining/,Steakhouse / casino hotel,"Lead with consistent steak cuts, local/regional supply reliability, and a quick chef/GM meeting; published contact email found.",Web search result
A,Dakotah Steakhouse,Rapid City,"1325 N Elk Vale Rd, Rapid City, SD 57703",605-791-1800,robin@DakotahSteakhouse.com,https://www.dakotahsteakhouserc.com/,Steakhouse,"Lead with local Black Hills/Rapid City service, premium beef cuts, and private-events volume.",VisitRapidCity/web search
A,1885 Steakhouse & Saloon,Hill City,"Hill City, SD",,1885steakhouse@gmail.com,https://1885steakhouse.com/,Steakhouse / saloon,"Lead with steakhouse/saloon fit, tourist season demand, and dependable weekly deliveries.",Web search result
A,Powder House Restaurant,Keystone,"Keystone, SD",605-666-4646,,https://www.powderhouserestaurant.com/,Prime rib / buffalo / wild game / lodge,"Lead with prime rib, buffalo/wild-game-adjacent product availability, and peak tourism/event volume.",Web search result; contact lookup: Call or use contact page; no public direct email found
A,Custer State Park Resorts dining,Custer State Park,"State Game Lodge / Blue Bell Lodge / Sylvan Lake Lodge, Custer State Park, SD",605-574-2561,,https://www.custerresorts.com/dining,Multi-venue resort dining / bison beef chicken fish,"Lead with multi-location resort supply, bison/beef programs, and seasonal reliability.",Web search result; contact lookup: Call dining/resort; no public direct F&B purchasing email found
A,Deadwood Legends Steakhouse at The Franklin,Deadwood,"Franklin Hotel, Deadwood, SD",605-578-3670,,https://www.silveradofranklin.com/food-drink/legends-steakhouse.html,Steakhouse / casino hotel,Lead with steakhouse plus casino-hotel volume; ask for chef or F&B purchasing meeting.,Deadwood/web search; contact lookup: Call; no public direct email found
A,FLYT Steakhouse by Alpine Inn,Deadwood,"Cadillac Jack’s, Deadwood, SD",605-578-1500,info@cadillacjacksgaming.com,https://www.cadillacjacksgaming.com/dining/flyt/,Steakhouse / casino hotel,"Lead with steakhouse needs, casino lodging volume, and Black Hills supplier responsiveness.",Web search result; contact lookup: Ready to email
A,Ridgeline Roadhouse,Rapid City / Hill City corridor,"23570 US-385, Rapid City, SD 57702",, ,https://www.ridgelineroadhouse.com/,Burger / breakfast / steakhouse / pancake,"Lead with burger grind, steak cuts, breakfast meats, and corridor/tourist traffic reliability.",OSM Hill City search; contact lookup: Need phone/contact form verification
A,Latchstring Restaurant,Spearfish Canyon / Lead,"21046 US Highway 14A, Lead, SD 57754",605-584-3333,latchstring@spfcanyon.com,https://spfcanyon.com/latchstring-restaurant,American / burger / sandwich lodge dining,"Lead with lodge/tourist dining, burgers/sandwich proteins, and published email.",OSM Deadwood search
A,Bunky’s BBQ,Spearfish,"125 W Highway 14, Spearfish, SD 57783",605-641-5962,bunkys.bbq@gmail.com,https://bunkysbbq.com/,Barbecue,"Lead with BBQ cuts: brisket, ribs, pork, chicken, case pricing, consistent sizing.",OSM Deadwood search
B,Delmonico Grill,Rapid City,"609 Main St, Rapid City, SD",605-791-1664,delmonicogrill@gmail.com,https://www.delmonicogrill.com/,Fine dining steakhouse,"Lead with premium cuts, consistency, local supplier story, and chef-focused sampling meeting.",Web search/OSM; contact lookup: Ready to email
B,SEAR Steakhouse,Black Hills / Deadwood area,,605-348-3348,,https://searblackhillssteakhouse.com/,Premium steakhouse,Lead with high-quality steak program and local/regional sourcing conversation.,Web search; contact lookup: Call or use reservation/contact path; no public direct email found
B,Alpine Inn,Hill City,"133 Main St, Hill City, SD 57745",605-574-2749,,https://alpineinnhillcity.com/,Black Hills fine dining / American,Lead with dependable premium beef during tourist season and easy ordering.,OSM/web search; contact lookup: Call; no public restaurant email found
B,Blue Bell Lodge Dining,Custer State Park,"25453 State Highway 87, Custer State Park, SD 57730",605-255-4531,,https://www.custerresorts.com/dining,Fine dining / lodge,Lead with lodge dining and ranch/Western protein fit.,OSM Custer search; contact lookup: Call dining/resort; no public direct F&B purchasing email found
B,The Lodge at Deadwood restaurants,Deadwood,"Deadwood, SD",605-584-4800,jthomas@deadwoodlodge.com,https://www.deadwoodlodge.com/eat-and-drink,Two on-site hotel restaurants,"Lead with hotel volume, event/weekend peaks, and multi-product supply.",Web search; contact lookup: Ready to email
B,Deadwood Mountain Grand dining,Deadwood,"Deadwood, SD",605-559-0386,info@dmgrand.com,https://deadwoodmountaingrand.com/dining-in-deadwood-sd/,Resort/casino dining,Lead with hotel/event volume and reliability for breakfast/lunch/dinner service.,Web search; contact lookup: Ready to email
B,Hickok’s Tavern - Rocksino by Hard Rock Deadwood,Deadwood,"685 Main Street, Deadwood, SD 57732",605-578-2222,,https://rocksino.hardrock.com/deadwood/dining,Tavern / casino dining,"Lead with tavern volume, burger/steak/chicken needs, and local delivery reliability.",Web search; contact lookup: Call; no public direct email found
B,Maverick's Steaks & Cocktails,Deadwood,"Deadwood, SD",605-578-2100,lisa@maverickssteak.com,https://www.maverickssteak.com/deadwood/contact,Steakhouse,Lead with steak cuts and cocktail-dinner service demand; verify contact before emailing.,OSM Deadwood search; contact lookup: Ready to email
B,Jacobs Brewhouse & Grocer,Deadwood,"79 Sherman Street, Deadwood, SD 57732",605-559-1895,,https://jacobsbrewhouse.com/,Brewhouse / restaurant / grocer,"Lead with local-provider angle, burgers/sandwich meats, and community-focused positioning.",OSM Deadwood search; contact lookup: Call/contact form; no public direct email found
B,Killian's Tavern,Spearfish,"539 W Jackson Blvd, Spearfish, SD",605-717-1255,,https://www.killiansfoodanddrink.com,American / steakhouse tavern,Lead with tavern/steakhouse protein mix and consistent weekly supply.,OSM Deadwood search; contact lookup: Use contact page/phone; no public direct email found
B,Redwater Kitchen,Spearfish,"741 N Main St, Spearfish, SD",605-717-2404,,https://www.redwaterkitchen.co,American,"Lead with American menu, burger/steak/chicken opportunities, and local supplier responsiveness.",OSM Deadwood search; contact lookup: Use contact page/phone; no public direct email found
B,Desperados Cowboys Restaurant,Hill City,"301 Main Street, Hill City, SD 57745",605-574-2959,, ,American / cowboy restaurant,"Lead with Western/tourist dining, beef and breakfast meats; verify contact.",OSM Hill City search; contact lookup: Verify open status before outreach
B,Chute Rooster,Hill City,"850 Chute Rooster Drive, Hill City, SD 57745",605-574-2122,info@chuterooster.com,https://www.chuterooster.com/,Chicken / high-volume family dining,Lead with chicken/protein reliability and tourist-season volume.,OSM Hill City search; contact lookup: Ready to email
B,Circle B Ranch Chuckwagon,Hill City,"12138 Ray Smith Drive, Hill City, SD",605-574-2129,, ,Chuckwagon / regional,Lead with group/tourist volume and simple protein package pricing.,OSM Hill City search; contact lookup: Likely closed; verify before outreach
B,Gold Bison Grill,Rapid City,"Rapid City, SD",605-348-4000,cheryl.gabert@rushmoreplaza.com,https://www.visitrapidcity.com/listing/gold-bison-grill/889/,American / bison angle,Lead with bison/local-meat positioning and Black Hills supplier story.,OSM Rapid City search; contact lookup: Ready to email
B,Tally's Silver Spoon,Rapid City,"Rapid City, SD",,,https://www.tallyssilverspoon.com,American,Lead with chef-driven/local ingredients angle and specialty meat options.,OSM Rapid City search; contact lookup: Use website/contact path; no public direct email found
B,The Bashful Bison Deli and Market,Rapid City,"601 Kansas City Street, Rapid City, SD 57701",605-519-3683,,https://bashfulbison.com,Sandwich/salad market / bison angle,"Lead with deli meats, local meat story, and retail/restaurant cross-fit.",OSM Rapid City search; contact lookup: Use contact page/phone; no public direct business email found
